decade,extreme_days_per_year
1891.0,0.0
1892.0,0.0
1893.0,0.0
1894.0,8.0
1895.0,1.0
1896.0,36.0
1897.0,4.2
1898.0,0.0
1899.0,7.2
1900.0,0.4
1901.0,6.0
1902.0,0.2857142857142857
1903.0,0.0
1904.0,0.1111111111111111
1905.0,0.4
1906.0,0.4
1907.0,3.3636363636363638
1908.0,0.3
1909.0,3.9
1910.0,4.083333333333333
1911.0,4.363636363636363
1912.0,3.4545454545454546
1913.0,4.916666666666667
1914.0,2.75
1915.0,3.25
1916.0,5.833333333333333
1917.0,5.75
1918.0,14.153846153846153
1919.0,2.7857142857142856
1920.0,0.9285714285714286
1921.0,4.642857142857143
1922.0,9.285714285714286
1923.0,9.071428571428571
1924.0,8.142857142857142
1925.0,9.8
1926.0,2.3333333333333335
1927.0,3.2
1928.0,4.066666666666666
1929.0,6.133333333333334
1930.0,13.2
1931.0,3.8
1932.0,4.6
1933.0,6.266666666666667
1934.0,21.125
1935.0,5.1875
1936.0,17.235294117647058
1937.0,6.833333333333333
1938.0,4.166666666666667
1939.0,11.0
1940.0,3.789473684210526
1941.0,0.47368421052631576
1942.0,1.6842105263157894
1943.0,14.947368421052632
1944.0,7.7368421052631575
1945.0,2.0526315789473686
1946.0,5.157894736842105
1947.0,6.05
1948.0,6.45
1949.0,0.8095238095238095
1950.0,0.6521739130434783
1951.0,10.956521739130435
1952.0,9.826086956521738
1953.0,8.92
1954.0,13.72
1955.0,1.64
1956.0,9.307692307692308
1957.0,5.851851851851852
1958.0,4.62962962962963
1959.0,1.1428571428571428
1960.0,4.357142857142857
1961.0,0.3793103448275862
1962.0,4.8
1963.0,4.903225806451613
1964.0,5.909090909090909
1965.0,0.5151515151515151
1966.0,1.9393939393939394
1967.0,1.2647058823529411
1968.0,1.088235294117647
1969.0,4.735294117647059
1970.0,2.8529411764705883
1971.0,1.911764705882353
1972.0,1.7714285714285714
1973.0,2.0285714285714285
1974.0,3.3142857142857145
1975.0,0.5135135135135135
1976.0,0.6756756756756757
1977.0,2.972972972972973
1978.0,7.342105263157895
1979.0,0.6842105263157895
1980.0,17.05263157894737
1981.0,3.789473684210526
1982.0,1.394736842105263
1983.0,1.5384615384615385
1984.0,1.7435897435897436
1985.0,2.658536585365854
1986.0,3.4285714285714284
1987.0,1.0930232558139534
1988.0,0.7209302325581395
1989.0,2.511627906976744
1990.0,4.8604651162790695
1991.0,0.5581395348837209
1992.0,0.8837209302325582
1993.0,1.8837209302325582
1994.0,5.72093023255814
1995.0,4.116279069767442
1996.0,2.953488372093023
1997.0,0.7209302325581395
1998.0,12.071428571428571
1999.0,3.4186046511627906
2000.0,7.511627906976744
2001.0,1.6744186046511629
2002.0,2.046511627906977
2003.0,4.558139534883721
2004.0,0.4418604651162791
2005.0,2.255813953488372
2006.0,5.093023255813954
2007.0,1.813953488372093
2008.0,2.3488372093023258
2009.0,3.186046511627907
2010.0,3.9069767441860463
2011.0,17.209302325581394
2012.0,9.627906976744185
2013.0,2.488372093023256
2014.0,1.5813953488372092
2015.0,1.6046511627906976
2016.0,4.186046511627907
2017.0,2.511627906976744
2018.0,5.116279069767442
2019.0,2.2093023255813953
2020.0,6.0
2021.0,2.4651162790697674
2022.0,8.372093023255815
2023.0,16.558139534883722
2024.0,6.1395348837209305
2025.0,2.0714285714285716
2026.0,9.951219512195122
