period,mean,median,std,count
1,0.284,0.0,1.424,61
2,1.087,0.0,3.538,55
3,0.861,0.0,4.586,62
4,2.027,0.0,6.84,60
5,1.117,0.0,4.355,87
6,2.846,0.0,8.122,83
7,1.128,0.0,4.173,61
8,2.218,0.0,7.04,62
9,3.74,0.0,11.657,60
10,1.4,0.0,5.587,62
11,0.41,0.0,1.365,60
12,0.648,0.0,3.043,62
